Wed, 25 Mar 2020 13:39:31 GMT | INFO | app.log | Request recieved at /test | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:42:42 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:44:05 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:44:05 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:44:17 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:44:17 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:46:52 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:46:52 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:47:00 GMT | INFO | app.log | Request recieved at /List | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:47:00 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:48:10 GMT | INFO | app.log | Request recieved at /Insert | data:{"UserName":"ozberk","Pass":"sifree"} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:48:10 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"ozberk","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:49:00 GMT | INFO | app.log | Request recieved at /Insert | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 13:49:00 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:25:22 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:25:32 GMT | INFO | app.log | Request recieved at /List | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:25:32 GMT | INFO | app.log | Retun sucess response | data:{"sucess":true} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:26:50 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:26:59 GMT | INFO | app.log | Request recieved at /List | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:27:30 GMT | INFO | app.log | Request recieved at /List | data:{} | log_data:{} | 
Wed, 25 Mar 2020 14:27:30 GMT | ERROR | app.log | UserName field is empty | log_data:{} | 
Wed, 25 Mar 2020 14:30:01 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:30:15 GMT | INFO | app.log | Request recieved at /List | data:"hikmet" | log_data:{} | 
Wed, 25 Mar 2020 14:34:18 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:34:31 GMT | INFO | app.log | Request recieved at /List | data:{"username":"hikmet"} | log_data:{} | 
Wed, 25 Mar 2020 14:39:29 GMT | INFO | app.log | Request recieved at /Login | data:{"UserName":"hikmet","Pass":"sifree"} | log_data:{"UserName":"hikmet","Pass":"sifree"} | 
Wed, 25 Mar 2020 14:39:42 GMT | INFO | app.log | Request recieved at /Update | data:{"UserName":"hikmet","Pass":"newpass","UpdateDate":"25,03,2020, 5:39:42 PM"} | log_data:{"UserName":"hikmet","Pass":"newpass","UpdateDate":"25,03,2020, 5:39:42 PM"} | 
